HEADERS
DATA,1.065,1.091,1.103,1.107,1.171,0.896,0.987,1.284,1.144,1.226,1.245,1.089,0.792,1.093,1.162,1.169,1.188,1.018,1.095,1.341,1.168,0.822,1.131,1.208,1.387,0.954,1.16,1.169,1.234,1.124,1.314,1.258,1.095,1.135,1.192,1.176,0.689,1.253,1.312,1.167,1.206,1.082,0.732,1.284,1.282,1.286,1.303,1.063,0.791,1.222,1.243,1.168,1.204,1.259,0.534,1.348
DATA,1.081,1.241,1.212,1.235
HEADERS
PERCENTILES,100.00,92.02,92.70,91.63,91.63,119.75,108.71,83.57,93.79,87.52,86.18,98.53,135.48,98.17,92.34,91.79,90.32,105.40,97.99,80.01,91.87,130.54,94.87,88.82,77.36,112.47,92.50,91.79,86.95,95.46,81.66,85.29,97.99,94.54,90.02,91.24,155.73,85.63,81.78,91.95,88.97,99.17,146.58,83.57,83.70,83.44,82.35,100.94,135.65,87.81,86.32,91.87,89.12,85.23,200.94,79.60
